#10	CVCL_YD65
1HAEO(-)	CVCL_0113
1HL11-G	CVCL_1S04
1HL33	CVCL_DE47
1HL35 SUBCLONE 5	CVCL_1S72
1HL35 SUBCLONE 8	CVCL_1S33
1HL35-5	CVCL_1S72
1HL35-8	CVCL_1S33
1LN	CVCL_L211
1LN-PC31A	CVCL_L211
1LN8	CVCL_LC06
1P6	CVCL_VN44
1R10000	CVCL_WG69
1R5	CVCL_RV18
1R50	CVCL_WG67
1R500	CVCL_WG68
1R500B	CVCL_WG68
1R50B	CVCL_WG67
1RB3A-N27	CVCL_D584
1RB3AN27	CVCL_D584
1SHL3 SUBCLONE 14	CVCL_1S34
1SHL3-14	CVCL_1S34
1W1LA4.9	CVCL_DE49
1_CDX2-C23	CVCL_VN32
2 BD4 E4 K99	CVCL_4479
2 FLB.LN	CVCL_3452
2,102 EP	CVCL_C522
2-27 AD	CVCL_IY39
2-69-23	CVCL_LF86
2-8-2	CVCL_1Y08
2-FTGH	CVCL_0115
2-LMP	CVCL_EQ20
2.03	CVCL_J167
2.040	CVCL_6346
2.179.E11	CVCL_J659
2.1F	CVCL_4E58
2.2.15	CVCL_L855
2/3 F4	CVCL_L833
2/3F4	CVCL_L833
20-8.3	CVCL_L528
20-9.10	CVCL_L529
20.4	CVCL_J511
2008	CVCL_0473
2008 C-13	CVCL_0114
2008/C13*5.25	CVCL_0114
2008/C13.R	CVCL_0114
2008/C13_5_25	CVCL_0114
2008C13	CVCL_0114
201 CELLS	CVCL_5A22
201-B1	CVCL_A062
201-B2	CVCL_A063
201-B3	CVCL_A064
201-B6	CVCL_A065
201-B7	CVCL_A324
201B-7	CVCL_A324
202-11AB	CVCL_J317
203 GLIOMA	CVCL_S828
203G	CVCL_S828
204314P/R9_15	CVCL_UK97
204T	CVCL_VJ45
2068RAG22-2	CVCL_1S93
206RHO0	CVCL_U923
207	CVCL_K034
207T	CVCL_VJ46
209/MOUSE DISTAL CONVOLUTED TUBULE	CVCL_CZ90
20913	CVCL_DI57
20A9	CVCL_JY62
20D17	CVCL_T787
20E11	CVCL_DB52
20K2	CVCL_XD50
20K2-IGG	CVCL_XD50
20L-17	CVCL_1S88
20XP0435-2	CVCL_DE48
20_3063A1	CVCL_YT25
21 NT	CVCL_7933
21 PT	CVCL_7934
21-55-4	CVCL_YA98
21-MT-1	CVCL_7931
21-MT-2	CVCL_7932
2102EP	CVCL_C522
210C/AB470	CVCL_2Q22
210RCY3-AG1.2.3	CVCL_4342
211H	CVCL_1430
212LN	CVCL_1T18
21353.1B2	CVCL_XJ93
21353.2F8	CVCL_XJ94
21353.2F8-23482	CVCL_XJ95
214T	CVCL_VJ47
215T	CVCL_VJ48
218	CVCL_G122
21A7	CVCL_IV63
