n1	n2	evidence	score
UMLS:C0005716	DOID:12663	curated	1
UMLS:C0005741	DOID:9423	curated	1
UMLS:C0005742	DOID:348	curated	1
UMLS:C0005744	DOID:10348	curated	1
UMLS:C0005745	DOID:0060260	curated	1
UMLS:C0005747	DOID:529	curated	1
UMLS:C0005750	DOID:10606	curated	1
UMLS:C0005779	DOID:1247	curated	1
UMLS:C0005806	DOID:4176	curated	1
UMLS:C0005818	DOID:2218	curated	1
UMLS:C0005859	DOID:2717	curated	1
UMLS:C0005940	DOID:0080001	curated	1
UMLS:C0005956	DOID:4961	curated	1
UMLS:C0005967	DOID:184	curated	1
UMLS:C0005974	DOID:0080011	curated	1
UMLS:C0006012	DOID:10930	curated	1
UMLS:C0006012	DOID:12401	curated	1
UMLS:C0006015	DOID:1116	curated	1
UMLS:C0006023	DOID:5154	curated	1
UMLS:C0006035	DOID:13034	curated	1
UMLS:C0006060	DOID:14095	curated	1
UMLS:C0006079	DOID:8872	curated	1
UMLS:C0006091	DOID:10383	curated	1
UMLS:C0006091	DOID:3689	curated	1
UMLS:C0006091	DOID:3690	curated	1
UMLS:C0006091	DOID:8443	curated	1
UMLS:C0006111	DOID:936	curated	1
UMLS:C0006114	DOID:4724	curated	1
UMLS:C0006118	DOID:1319	curated	1
UMLS:C0006142	DOID:1612	curated	1
UMLS:C0006144	DOID:10349	curated	1
UMLS:C0006144	DOID:10350	curated	1
UMLS:C0006145	DOID:3463	curated	1
UMLS:C0006160	DOID:2636	curated	1
UMLS:C0006160	DOID:4217	curated	1
UMLS:C0006261	DOID:1176	curated	1
UMLS:C0006264	DOID:3906	curated	1
UMLS:C0006267	DOID:9563	curated	1
UMLS:C0006271	DOID:2942	curated	1
UMLS:C0006272	DOID:2799	curated	1
UMLS:C0006277	DOID:6132	curated	1
UMLS:C0006285	DOID:12375	curated	1
UMLS:C0006309	DOID:11077	curated	1
UMLS:C0006325	DOID:2846	curated	1
UMLS:C0006370	DOID:12129	curated	1
UMLS:C0006413	DOID:8584	curated	1
UMLS:C0006430	DOID:4331	curated	1
UMLS:C0006444	DOID:14188	curated	1
UMLS:C0006444	DOID:2965	curated	1
UMLS:C0006542	DOID:10323	curated	1
UMLS:C0006663	DOID:182	curated	1
UMLS:C0006666	DOID:4734	curated	1
UMLS:C0006705	DOID:0060699	curated	1
UMLS:C0006705	DOID:0060700	curated	1
UMLS:C0006705	DOID:0060701	curated	1
UMLS:C0006705	DOID:0060702	curated	1
UMLS:C0006705	DOID:10575	curated	1
UMLS:C0006818	DOID:13622	curated	1
UMLS:C0006826	DOID:162	curated	1
UMLS:C0006840	DOID:14262	curated	1
UMLS:C0006840	DOID:1508	curated	1
UMLS:C0006845	DOID:2058	curated	1
UMLS:C0006846	DOID:0080161	curated	1
UMLS:C0006849	DOID:14262	curated	1
UMLS:C0006849	DOID:1508	curated	1
UMLS:C0006852	DOID:2272	curated	1
UMLS:C0006868	DOID:9505	curated	1
UMLS:C0006870	DOID:1849	curated	1
UMLS:C0006897	DOID:12474	curated	1
UMLS:C0006915	DOID:10326	curated	1
UMLS:C0007001	DOID:2978	curated	1
UMLS:C0007097	DOID:305	curated	1
UMLS:C0007097	DOID:4015	curated	1
UMLS:C0007102	DOID:219	curated	1
UMLS:C0007102	DOID:5672	curated	1
UMLS:C0007102	DOID:9256	curated	1
UMLS:C0007103	DOID:1380	curated	1
UMLS:C0007104	DOID:7843	curated	1
UMLS:C0007107	DOID:2596	curated	1
UMLS:C0007107	DOID:2600	curated	1
UMLS:C0007112	DOID:2526	curated	1
UMLS:C0007113	DOID:1993	curated	1
UMLS:C0007114	DOID:4159	curated	1
UMLS:C0007115	DOID:1781	curated	1
UMLS:C0007117	DOID:2513	curated	1
UMLS:C0007118	DOID:5063	curated	1
UMLS:C0007120	DOID:1324	curated	1
UMLS:C0007120	DOID:4926	curated	1
UMLS:C0007121	DOID:3904	curated	1
UMLS:C0007125	DOID:5050	curated	1
UMLS:C0007130	DOID:3030	curated	1
UMLS:C0007131	DOID:1324	curated	1
UMLS:C0007131	DOID:3908	curated	1
UMLS:C0007133	DOID:3113	curated	1
UMLS:C0007134	DOID:4450	curated	1
UMLS:C0007134	DOID:4464	curated	1
UMLS:C0007134	DOID:4465	curated	1
UMLS:C0007134	DOID:4467	curated	1
UMLS:C0007134	DOID:4471	curated	1
UMLS:C0007134	DOID:4473	curated	1
UMLS:C0007135	DOID:4024	curated	1
UMLS:C0007137	DOID:1749	curated	1
UMLS:C0007138	DOID:2671	curated	1
UMLS:C0007140	DOID:4236	curated	1
UMLS:C0007177	DOID:115	curated	1
UMLS:C0007192	DOID:12935	curated	1
UMLS:C0007193	DOID:0110423	curated	1
UMLS:C0007193	DOID:0110424	curated	1
UMLS:C0007193	DOID:0110426	curated	1
UMLS:C0007193	DOID:0110427	curated	1
UMLS:C0007193	DOID:0110428	curated	1
UMLS:C0007193	DOID:0110429	curated	1
UMLS:C0007193	DOID:0110430	curated	1
UMLS:C0007193	DOID:0110431	curated	1
UMLS:C0007193	DOID:0110432	curated	1
UMLS:C0007193	DOID:0110433	curated	1
UMLS:C0007193	DOID:0110434	curated	1
UMLS:C0007193	DOID:0110435	curated	1
UMLS:C0007193	DOID:0110436	curated	1
UMLS:C0007193	DOID:0110437	curated	1
UMLS:C0007193	DOID:0110438	curated	1
UMLS:C0007193	DOID:0110439	curated	1
UMLS:C0007193	DOID:0110441	curated	1
UMLS:C0007193	DOID:0110442	curated	1
UMLS:C0007193	DOID:0110443	curated	1
UMLS:C0007193	DOID:0110444	curated	1
UMLS:C0007193	DOID:0110445	curated	1
UMLS:C0007193	DOID:0110446	curated	1
UMLS:C0007193	DOID:0110447	curated	1
UMLS:C0007193	DOID:0110448	curated	1
UMLS:C0007193	DOID:0110449	curated	1
UMLS:C0007193	DOID:0110450	curated	1
UMLS:C0007193	DOID:0110451	curated	1
UMLS:C0007193	DOID:0110452	curated	1
UMLS:C0007193	DOID:0110453	curated	1
UMLS:C0007193	DOID:0110454	curated	1
UMLS:C0007193	DOID:0110455	curated	1
UMLS:C0007193	DOID:0110456	curated	1
UMLS:C0007193	DOID:0110457	curated	1
UMLS:C0007193	DOID:0110458	curated	1
UMLS:C0007193	DOID:0110459	curated	1
UMLS:C0007193	DOID:0110460	curated	1
UMLS:C0007193	DOID:0110461	curated	1
UMLS:C0007193	DOID:12930	curated	1
UMLS:C0007194	DOID:0080326	curated	1
UMLS:C0007194	DOID:11984	curated	1
UMLS:C0007196	DOID:397	curated	1
UMLS:C0007222	DOID:1287	curated	1
UMLS:C0007273	DOID:3407	curated	1
UMLS:C0007274	DOID:3410	curated	1
UMLS:C0007279	DOID:0050773	curated	1
UMLS:C0007282	DOID:13001	curated	1
UMLS:C0007286	DOID:12169	curated	1
UMLS:C0007302	DOID:1222	curated	1
UMLS:C0007302	DOID:2557	curated	1
UMLS:C0007361	DOID:11258	curated	1
UMLS:C0007384	DOID:8986	curated	1
UMLS:C0007462	DOID:3222	curated	1
UMLS:C0007528	DOID:1517	curated	1
UMLS:C0007528	DOID:1521	curated	1
UMLS:C0007570	DOID:10608	curated	1
UMLS:C0007642	DOID:3488	curated	1
UMLS:C0007682	DOID:331	curated	1
UMLS:C0007688	DOID:13098	curated	1
UMLS:C0007758	DOID:0050753	curated	1
UMLS:C0007760	DOID:2786	curated	1
UMLS:C0007761	DOID:0060792	curated	1
UMLS:C0007761	DOID:0060794	curated	1
UMLS:C0007761	DOID:0060797	curated	1
UMLS:C0007761	DOID:12707	curated	1
UMLS:C0007762	DOID:4205	curated	1
UMLS:C0007766	DOID:10941	curated	1
UMLS:C0007771	DOID:12720	curated	1
UMLS:C0007771	DOID:13097	curated	1
UMLS:C0007772	DOID:0060688	curated	1
UMLS:C0007773	DOID:11390	curated	1
UMLS:C0007775	DOID:12720	curated	1
UMLS:C0007780	DOID:4372	curated	1
UMLS:C0007785	DOID:10127	curated	1
UMLS:C0007785	DOID:3526	curated	1
UMLS:C0007785	DOID:6713	curated	1
UMLS:C0007786	DOID:2316	curated	1
UMLS:C0007787	DOID:224	curated	1
UMLS:C0007789	DOID:10965	curated	1
UMLS:C0007789	DOID:10968	curated	1
UMLS:C0007789	DOID:10970	curated	1
UMLS:C0007789	DOID:1969	curated	1
UMLS:C0007795	DOID:0060215	curated	1
UMLS:C0007795	DOID:0080122	curated	1
UMLS:C0007795	DOID:10588	curated	1
UMLS:C0007820	DOID:6713	curated	1
UMLS:C0007847	DOID:2893	curated	1
UMLS:C0007847	DOID:4362	curated	1
UMLS:C0007860	DOID:2568	curated	1
UMLS:C0007867	DOID:2253	curated	1
UMLS:C0007871	DOID:9681	curated	1
UMLS:C0007873	DOID:4362	curated	1
UMLS:C0007932	DOID:12140	curated	1
UMLS:C0007933	DOID:9903	curated	1
UMLS:C0007939	DOID:4166	curated	1
UMLS:C0007947	DOID:13778	curated	1
UMLS:C0007959	DOID:0070161	curated	1
UMLS:C0007959	DOID:0090003	curated	1
UMLS:C0007959	DOID:0110148	curated	1
UMLS:C0007959	DOID:0110149	curated	1
UMLS:C0007959	DOID:0110150	curated	1
UMLS:C0007959	DOID:0110151	curated	1
UMLS:C0007959	DOID:0110152	curated	1
UMLS:C0007959	DOID:0110153	curated	1
UMLS:C0007959	DOID:0110154	curated	1
UMLS:C0007959	DOID:0110155	curated	1
UMLS:C0007959	DOID:0110156	curated	1
UMLS:C0007959	DOID:0110157	curated	1
UMLS:C0007959	DOID:0110158	curated	1
UMLS:C0007959	DOID:0110159	curated	1
UMLS:C0007959	DOID:0110160	curated	1
UMLS:C0007959	DOID:0110161	curated	1
UMLS:C0007959	DOID:0110163	curated	1
UMLS:C0007959	DOID:0110164	curated	1
UMLS:C0007959	DOID:0110165	curated	1
UMLS:C0007959	DOID:0110166	curated	1
UMLS:C0007959	DOID:0110167	curated	1
UMLS:C0007959	DOID:0110168	curated	1
UMLS:C0007959	DOID:0110169	curated	1
UMLS:C0007959	DOID:0110170	curated	1
UMLS:C0007959	DOID:0110173	curated	1
UMLS:C0007959	DOID:0110174	curated	1
UMLS:C0007959	DOID:0110175	curated	1
UMLS:C0007959	DOID:0110177	curated	1
UMLS:C0007959	DOID:0110179	curated	1
UMLS:C0007959	DOID:0110182	curated	1
UMLS:C0007959	DOID:0110183	curated	1
UMLS:C0007959	DOID:0110184	curated	1
UMLS:C0007959	DOID:0110185	curated	1
UMLS:C0007959	DOID:0110186	curated	1
UMLS:C0007959	DOID:0110187	curated	1
UMLS:C0007959	DOID:0110190	curated	1
UMLS:C0007959	DOID:0110191	curated	1
UMLS:C0007959	DOID:0110192	curated	1
UMLS:C0007959	DOID:0110193	curated	1
UMLS:C0007959	DOID:0110194	curated	1
UMLS:C0007959	DOID:0110195	curated	1
UMLS:C0007959	DOID:0110196	curated	1
UMLS:C0007959	DOID:0110197	curated	1
UMLS:C0007959	DOID:0110198	curated	1
UMLS:C0007959	DOID:0110199	curated	1
UMLS:C0007959	DOID:0110200	curated	1
UMLS:C0007959	DOID:0110202	curated	1
UMLS:C0007959	DOID:0110203	curated	1
UMLS:C0007959	DOID:0110204	curated	1
UMLS:C0007959	DOID:0110205	curated	1
UMLS:C0007959	DOID:0110206	curated	1
UMLS:C0007959	DOID:0110207	curated	1
UMLS:C0007959	DOID:0110208	curated	1
UMLS:C0007959	DOID:0110209	curated	1
UMLS:C0007959	DOID:0110210	curated	1
UMLS:C0007959	DOID:0110211	curated	1
UMLS:C0007959	DOID:0110212	curated	1
UMLS:C0007959	DOID:10595	curated	1
UMLS:C0007959	DOID:2477	curated	1
UMLS:C0007965	DOID:2935	curated	1
UMLS:C0007971	DOID:0060312	curated	1
UMLS:C0007971	DOID:1762	curated	1
UMLS:C0007971	DOID:9297	curated	1
UMLS:C0008029	DOID:1856	curated	1
UMLS:C0008029	DOID:203	curated	1
UMLS:C0008043	DOID:12700	curated	1
UMLS:C0008055	DOID:0050012	curated	1
UMLS:C0008272	DOID:11759	curated	1
UMLS:C0008297	DOID:9574	curated	1
UMLS:C0008309	DOID:5381	curated	1
UMLS:C0008311	DOID:14268	curated	1
UMLS:C0008311	DOID:14269	curated	1
UMLS:C0008311	DOID:14270	curated	1
UMLS:C0008311	DOID:9446	curated	1
UMLS:C0008312	DOID:12236	curated	1
UMLS:C0008313	DOID:0060643	curated	1
UMLS:C0008313	DOID:14268	curated	1
UMLS:C0008325	DOID:1949	curated	1
